"filename", "language", "JavaScript", "Vue.js", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\procedure\vue-electron\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\procedure\vue-electron\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\procedure\vue-electron\package-lock.json", "JSON", 0, 0, 0, 0, 15150, 0, 0, 1, 15151
"c:\procedure\vue-electron\package.json", "JSON", 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\procedure\vue-electron\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\procedure\vue-electron\src\App.vue", "Vue.js", 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\procedure\vue-electron\src\assets\fonts\font.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\procedure\vue-electron\src\background.js", "JavaScript", 52, 0, 0, 0, 0, 0, 30, 10, 92
"c:\procedure\vue-electron\src\components\GameCanvas.vue", "Vue.js", 0, 262, 0, 0, 0, 0, 39, 2, 303
"c:\procedure\vue-electron\src\components\MenuBox.vue", "Vue.js", 0, 98, 0, 0, 0, 0, 2, 2, 102
"c:\procedure\vue-electron\src\components\MineSweeping.vue", "Vue.js", 0, 451, 0, 0, 0, 0, 92, 4, 547
"c:\procedure\vue-electron\src\components\PlaneWar.vue", "Vue.js", 0, 563, 0, 0, 0, 0, 44, 4, 611
"c:\procedure\vue-electron\src\components\SelectLeval.vue", "Vue.js", 0, 158, 0, 0, 0, 0, 14, 2, 174
"c:\procedure\vue-electron\src\components\Snacks.vue", "Vue.js", 0, 329, 0, 0, 0, 0, 11, 2, 342
"c:\procedure\vue-electron\src\components\Tetris.vue", "Vue.js", 0, 155, 0, 0, 0, 0, 11, 2, 168
"c:\procedure\vue-electron\src\components\calendar.vue", "Vue.js", 0, 98, 0, 0, 0, 0, 5, 2, 105
"c:\procedure\vue-electron\src\components\computer.vue", "Vue.js", 0, 319, 0, 0, 0, 0, 4, 2, 325
"c:\procedure\vue-electron\src\components\defaultImg.vue", "Vue.js", 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\procedure\vue-electron\src\components\defaultPage.vue", "Vue.js", 0, 114, 0, 0, 0, 0, 3, 2, 119
"c:\procedure\vue-electron\src\components\game.vue", "Vue.js", 0, 142, 0, 0, 0, 0, 18, 4, 164
"c:\procedure\vue-electron\src\components\js\calender.js", "JavaScript", 424, 0, 0, 0, 0, 0, 198, 39, 661
"c:\procedure\vue-electron\src\components\js\planeWar.js", "JavaScript", 335, 0, 0, 0, 0, 0, 43, 15, 393
"c:\procedure\vue-electron\src\components\list.vue", "Vue.js", 0, 181, 0, 0, 0, 0, 14, 2, 197
"c:\procedure\vue-electron\src\components\note.vue", "Vue.js", 0, 254, 0, 0, 0, 0, 15, 3, 272
"c:\procedure\vue-electron\src\components\playingCard.vue", "Vue.js", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\procedure\vue-electron\src\components\weather.vue", "Vue.js", 0, 196, 0, 0, 0, 0, 2, 2, 200
"c:\procedure\vue-electron\src\main.js", "JavaScript", 14, 0, 0, 0, 0, 0, 7, 3, 24
"c:\procedure\vue-electron\src\views\index.vue", "Vue.js", 0, 174, 0, 0, 0, 0, 16, 4, 194
"c:\procedure\vue-electron\src\views\test.vue", "Vue.js", 0, 573, 0, 0, 0, 0, 48, 10, 631
"c:\procedure\vue-electron\vue.config.js", "JavaScript", 33, 0, 0, 0, 0, 0, 9, 2, 44
"Total", "-", 863, 4164, 6, 19, 15230, 16, 626, 135, 21059
